date_key,team_id,away_team_id,attendance,games_that_date,day_night,day_of_week,day_of_week_num,month_name,month_num,week_of_season,is_weekend,is_holiday,holiday,homestand_id,homestand_game_index,homestand_length,days_since_last_home_date,home_win_pct,away_win_pct,weather_group,weather_condition,temp_f,wind_mph,is_wet,has_giveaway,giveaway_count,giveaway_item,homestand_has_giveaway,games_from_giveaway,analysis_eligible,predicted_attendance,residual,vs_expected,vs_expected_pct,giveaway_label,temp_band,temp_band_num,control_status,control_status_order,offset_label
20260331,342,2310,5735.0,1,night,Tuesday,1,March,3,1,0,0,,342-1,1,6,,0.25,0.5,Cloudy,Overcast,73.0,11,0,1,1,"Isotopes Scarves, first 2000 fans",1,0.0,1,7234.0,-0.2323,-1499.0,-20.73,Giveaway,65-75F,2,Giveaway,0,Giveaway
20260401,342,2310,6203.0,1,night,Wednesday,2,April,4,1,0,0,,342-1,2,6,1.0,0.2,0.6,Cloudy,Partly Cloudy,61.0,18,0,0,0,,1,1.0,1,5525.0,0.1157,678.0,12.27,No giveaway,55-65F,1,Adjacent to a giveaway,1,+1 games
20260402,342,2310,3378.0,1,day,Thursday,3,April,4,1,0,0,,342-1,3,6,1.0,0.333,0.5,Clear,Sunny,65.0,8,0,0,0,,1,-1.0,1,7138.0,-0.7481,-3760.0,-52.68,No giveaway,55-65F,1,Adjacent to a giveaway,1,-1 games
20260403,342,2310,3653.0,1,night,Friday,4,April,4,2,1,0,,342-1,4,6,1.0,0.286,0.571,Clear,Clear,60.0,8,0,1,1,"Magnet Schedules, first 3000 fans",1,0.0,1,8305.0,-0.8213,-4652.0,-56.01,Giveaway,55-65F,1,Giveaway,0,Giveaway
20260404,342,2310,6455.0,1,night,Saturday,5,April,4,2,1,0,,342-1,5,6,1.0,0.375,0.5,Clear,Clear,67.0,2,0,1,1,"Adult Mariachis Jersey Hoodie, first 3000 fans 16 and older",1,0.0,1,8402.0,-0.2637,-1947.0,-23.18,Giveaway,65-75F,2,Giveaway,0,Giveaway
20260405,342,2310,4058.0,1,day,Sunday,6,April,4,2,1,0,,342-1,6,6,1.0,0.333,0.556,Clear,Sunny,69.0,8,0,0,0,,1,1.0,1,7005.0,-0.5459,-2947.0,-42.07,No giveaway,65-75F,2,Adjacent to a giveaway,1,+1 games
20260414,342,238,6224.0,1,night,Tuesday,1,April,4,3,0,0,,342-2,1,6,9.0,0.5,0.562,Cloudy,Partly Cloudy,67.0,18,0,0,0,,1,-3.0,1,5691.0,0.0895,533.0,9.36,No giveaway,65-75F,2,Adjacent to a giveaway,1,3+ away
20260415,342,238,7663.0,1,night,Wednesday,2,April,4,3,0,0,,342-2,2,6,1.0,0.529,0.529,Clear,Clear,69.0,11,0,0,0,,1,-2.0,1,5700.0,0.296,1963.0,34.45,No giveaway,65-75F,2,Adjacent to a giveaway,1,-2 games
20260416,342,238,3343.0,1,day,Thursday,3,April,4,3,0,0,,342-2,3,6,1.0,0.556,0.5,Clear,Sunny,69.0,11,0,0,0,,1,-1.0,1,7063.0,-0.7479,-3720.0,-52.67,No giveaway,65-75F,2,Adjacent to a giveaway,1,-1 games
20260417,342,238,4850.0,1,night,Friday,4,April,4,4,1,0,,342-2,4,6,1.0,0.526,0.526,Clear,Clear,62.0,18,0,1,1,"Orbit Socks, first 2000 fans",1,0.0,1,8294.0,-0.5365,-3444.0,-41.52,Giveaway,55-65F,1,Giveaway,0,Giveaway
20260418,342,238,5545.0,1,night,Saturday,5,April,4,4,1,0,,342-2,5,6,1.0,0.55,0.5,Cloudy,Partly Cloudy,68.0,3,0,0,0,,1,1.0,1,8226.0,-0.3944,-2681.0,-32.59,No giveaway,65-75F,2,Adjacent to a giveaway,1,+1 games
20260419,342,238,8033.0,1,day,Sunday,6,April,4,4,1,0,,342-2,6,6,1.0,0.571,0.476,Clear,Sunny,70.0,7,0,0,0,,1,2.0,1,6955.0,0.1441,1078.0,15.5,No giveaway,65-75F,2,Adjacent to a giveaway,1,+2 games
20260428,342,4904,8611.0,1,night,Tuesday,1,April,4,5,0,0,,342-3,1,6,9.0,0.536,0.464,Cloudy,Partly Cloudy,78.0,16,0,0,0,,1,-5.0,1,5937.0,0.3718,2674.0,45.04,No giveaway,75-85F,3,Adjacent to a giveaway,1,3+ away
20260429,342,4904,6409.0,1,night,Wednesday,2,April,4,5,0,0,,342-3,2,6,1.0,0.517,0.483,Clear,Clear,78.0,8,0,0,0,,1,-4.0,1,5833.0,0.0941,576.0,9.87,No giveaway,75-85F,3,Adjacent to a giveaway,1,3+ away
20260430,342,4904,6509.0,1,day,Thursday,3,April,4,5,0,0,,342-3,3,6,1.0,0.5,0.5,Cloudy,Partly Cloudy,68.0,4,0,0,0,,1,-3.0,1,7090.0,-0.0854,-581.0,-8.19,No giveaway,65-75F,2,Adjacent to a giveaway,1,3+ away
20260501,342,4904,8298.0,1,night,Friday,4,May,5,6,1,0,,342-3,4,6,1.0,0.516,0.484,Cloudy,Cloudy,56.0,12,0,0,0,,1,-2.0,1,10383.0,-0.2241,-2085.0,-20.08,No giveaway,55-65F,1,Adjacent to a giveaway,1,-2 games
20260502,342,4904,8667.0,1,night,Saturday,5,May,5,6,1,0,,342-3,5,6,1.0,0.531,0.469,Cloudy,Cloudy,68.0,4,0,0,0,,1,-1.0,1,11043.0,-0.2423,-2376.0,-21.52,No giveaway,65-75F,2,Adjacent to a giveaway,1,-1 games
20260503,342,4904,6132.0,1,day,Sunday,6,May,5,6,1,0,,342-3,6,6,1.0,0.545,0.455,Cloudy,Partly Cloudy,69.0,7,0,1,1,"Adult Mariachis Jersey, first 3000 fans 16 and older",1,0.0,1,9283.0,-0.4146,-3151.0,-33.94,Giveaway,65-75F,2,Giveaway,0,Giveaway
20260512,342,238,7976.0,1,night,Tuesday,1,May,5,7,0,0,,342-4,1,6,9.0,0.6,0.513,Clear,Clear,92.0,9,0,0,0,,0,,1,6838.0,0.1539,1138.0,16.64,No giveaway,85F+,4,Clean control,2,No giveaway in homestand
20260513,342,238,8196.0,1,night,Wednesday,2,May,5,7,0,0,,342-4,2,6,1.0,0.61,0.5,Cloudy,Overcast,85.0,19,0,0,0,,0,,1,7295.0,0.1164,901.0,12.35,No giveaway,75-85F,3,Clean control,2,No giveaway in homestand
20260514,342,238,6896.0,1,day,Thursday,3,May,5,7,0,0,,342-4,3,6,1.0,0.595,0.512,Clear,Sunny,80.0,4,0,0,0,,0,,1,9263.0,-0.2951,-2367.0,-25.55,No giveaway,75-85F,3,Clean control,2,No giveaway in homestand
20260515,342,238,7911.0,1,night,Friday,4,May,5,8,1,0,,342-4,4,6,1.0,0.581,0.524,Cloudy,Partly Cloudy,88.0,4,0,0,0,,0,,1,10784.0,-0.3098,-2873.0,-26.64,No giveaway,85F+,4,Clean control,2,No giveaway in homestand
20260516,342,238,12053.0,1,night,Saturday,5,May,5,8,1,0,,342-4,5,6,1.0,0.568,0.535,Clear,Clear,87.0,15,0,0,0,,0,,1,10276.0,0.1595,1777.0,17.3,No giveaway,85F+,4,Clean control,2,No giveaway in homestand
20260517,342,238,8783.0,1,day,Sunday,6,May,5,8,1,0,,342-4,6,6,1.0,0.556,0.545,Clear,Sunny,80.0,14,0,0,0,,0,,1,9000.0,-0.0244,-217.0,-2.41,No giveaway,75-85F,3,Clean control,2,No giveaway in homestand
20260526,342,4904,6704.0,1,night,Tuesday,1,May,5,9,0,0,,342-5,1,6,9.0,0.558,0.442,Cloudy,Overcast,60.0,8,0,0,0,,1,-4.0,1,7319.0,-0.0877,-615.0,-8.4,No giveaway,55-65F,1,Adjacent to a giveaway,1,3+ away
20260527,342,4904,7762.0,1,night,Wednesday,2,May,5,9,0,0,,342-5,2,6,1.0,0.547,0.453,Clear,Clear,83.0,4,0,0,0,,1,-3.0,1,7588.0,0.0227,174.0,2.29,No giveaway,75-85F,3,Adjacent to a giveaway,1,3+ away
20260528,342,4904,3614.0,1,day,Thursday,3,May,5,9,0,0,,342-5,3,6,1.0,0.556,0.444,Cloudy,Partly Cloudy,79.0,4,0,0,0,,1,-2.0,1,9559.0,-0.9727,-5945.0,-62.19,No giveaway,75-85F,3,Adjacent to a giveaway,1,-2 games
20260529,342,4904,8301.0,1,night,Friday,4,May,5,10,1,0,,342-5,4,6,1.0,0.564,0.436,Cloudy,Partly Cloudy,85.0,16,0,0,0,,1,-1.0,1,11435.0,-0.3203,-3134.0,-27.41,No giveaway,75-85F,3,Adjacent to a giveaway,1,-1 games
