team_id,home_dates,mean_attendance,max_attendance,giveaways,primary_venue,venues_used,club,league,eligible_seasons,seasons_observed,coverage_label,analysis_eligible,giveaway_rate
102,207,4995.0,11417.0,40,Dell Diamond,1,Round Rock Express,Pacific Coast League,3,3,"Complete, every season",1,0.1932367149758454
105,209,4661.0,13060.0,24,Sutter Health Park,2,Sacramento River Cats,Pacific Coast League,2,3,Complete in some seasons,1,0.11483253588516747
234,216,6450.0,15093.0,1,Durham Bulls Athletic Park,1,Durham Bulls,International League,0,3,Never complete,0,0.004629629629629629
235,204,2921.0,10269.0,12,AutoZone Park,1,Memphis Redbirds,International League,0,3,Never complete,0,0.058823529411764705
238,214,5409.0,11290.0,13,Chickasaw Bricktown Ballpark,1,Oklahoma City Comets,Pacific Coast League,2,3,Complete in some seasons,1,0.06074766355140187
342,210,6728.0,12184.0,44,Isotopes Park,1,Albuquerque Isotopes,Pacific Coast League,3,3,"Complete, every season",1,0.20952380952380953
400,218,6361.0,12390.0,6,Las Vegas Ballpark,1,Las Vegas Aviators,Pacific Coast League,0,3,Never complete,0,0.027522935779816515
416,207,4705.0,10516.0,2,Louisville Slugger Field,2,Louisville Bats,International League,0,3,Never complete,0,0.00966183574879227
422,198,6365.0,14524.0,27,Sahlen Field,1,Buffalo Bisons,International League,2,3,Complete in some seasons,1,0.13636363636363635
431,202,2585.0,9269.0,33,Coolray Field,2,Gwinnett Stripers,International League,3,3,"Complete, every season",1,0.16336633663366337
445,198,7345.0,10888.0,2,Huntington Park,1,Columbus Clippers,International League,0,3,Never complete,0,0.010101010101010102
451,208,5562.0,11508.0,4,Principal Park,3,Iowa Cubs,International League,2,3,Complete in some seasons,1,0.019230769230769232
484,209,7953.0,13972.0,30,Victory Field,1,Indianapolis Indians,International League,3,3,"Complete, every season",1,0.14354066985645933
494,208,5858.0,14180.0,10,Truist Field,1,Charlotte Knights,International League,0,3,Never complete,0,0.04807692307692308
512,201,6396.0,12800.0,15,Fifth Third Field,1,Toledo Mud Hens,International League,0,3,Never complete,0,0.07462686567164178
529,215,5460.0,7462.0,2,Cheney Stadium,1,Tacoma Rainiers,Pacific Coast League,0,3,Never complete,0,0.009302325581395349
531,194,4203.0,10000.0,33,PNC Field,1,Scranton/Wilkes-Barre RailRiders,International League,3,3,"Complete, every season",1,0.17010309278350516
533,201,6746.0,9700.0,4,Polar Park,1,Worcester Red Sox,International League,0,3,Never complete,0,0.01990049751243781
534,204,6157.0,13605.0,47,Innovative Field,2,Rochester Red Wings,International League,3,3,"Complete, every season",1,0.23039215686274508
541,205,3796.0,9313.0,23,Werner Park,1,Omaha Storm Chasers,International League,3,3,"Complete, every season",1,0.11219512195121951
552,202,4799.0,10815.0,0,NBT Bank Stadium,1,Syracuse Mets,International League,0,3,Never complete,0,0.0
556,202,6962.0,11559.0,69,First Horizon Park,1,Nashville Sounds,International League,2,3,Complete in some seasons,1,0.3415841584158416
561,215,5736.0,14455.0,0,The Ballpark at America First Square,2,Salt Lake Bees,Pacific Coast League,0,3,Never complete,0,0.0
564,210,5059.0,10768.0,48,Vystar Ballpark,2,Jacksonville Jumbo Shrimp,International League,3,3,"Complete, every season",1,0.22857142857142856
568,192,5709.0,11940.0,0,Harbor Park,1,Norfolk Tides,International League,0,3,Never complete,0,0.0
1410,208,8063.0,16339.0,86,Coca-Cola Park,1,Lehigh Valley IronPigs,International League,3,3,"Complete, every season",1,0.41346153846153844
1960,204,6202.0,9377.0,19,CHS Field,1,St. Paul Saints,International League,3,3,"Complete, every season",1,0.09313725490196079
2310,218,4731.0,9485.0,9,Greater Nevada Field,1,Reno Aces,Pacific Coast League,0,3,Never complete,0,0.04128440366972477
4904,211,6402.0,9449.0,14,Southwest University Park,1,El Paso Chihuahuas,Pacific Coast League,1,3,Complete in some seasons,1,0.06635071090047394
5434,205,3689.0,7204.0,75,Constellation Field,1,Sugar Land Space Cowboys,Pacific Coast League,3,3,"Complete, every season",1,0.36585365853658536
