date_key,season,team_id,away_team_id,attendance,games_that_date,day_night,day_of_week,day_of_week_num,month_name,month_num,week_of_season,is_weekend,is_holiday,holiday,homestand_id,homestand_game_index,homestand_length,days_since_last_home_date,home_win_pct,away_win_pct,weather_group,weather_condition,temp_f,wind_mph,is_wet,has_giveaway,giveaway_count,giveaway_item,homestand_has_giveaway,games_from_giveaway,analysis_eligible,predicted_attendance,residual,vs_expected,vs_expected_pct,giveaway_label,temp_band,temp_band_num,control_status,control_status_order,offset_label
20240329,2024,342,4904,6118.0,1,night,Friday,4,March,3,1,1,0,,2024-342-1,1,3,,0.0,1.0,Cloudy,Partly Cloudy,71.0,16,0,1,1,Ear Flap Hats,1,0.0,1,7126.0,-0.1526,-1008.0,-14.15,Giveaway,65-75F,2,Giveaway,0,Giveaway
20240330,2024,342,4904,6152.0,1,night,Saturday,5,March,3,1,1,0,,2024-342-1,2,3,1.0,0.5,0.5,Clear,Clear,74.0,19,0,1,1,Adult Jersey Hoodies,1,0.0,1,7608.0,-0.2124,-1456.0,-19.14,Giveaway,65-75F,2,Giveaway,0,Giveaway
20240331,2024,342,4904,4187.0,1,day,Sunday,6,March,3,1,1,0,,2024-342-1,3,3,1.0,0.333,0.667,Cloudy,Partly Cloudy,70.0,20,0,1,1,Magnet Schedules,1,0.0,1,6232.0,-0.3978,-2045.0,-32.82,Giveaway,65-75F,2,Giveaway,0,Giveaway
20240409,2024,342,5434,5897.0,1,night,Tuesday,1,April,4,2,0,0,,2024-342-2,1,6,9.0,0.2,0.6,Cloudy,Cloudy,57.0,8,0,0,0,,1,-4.0,1,4371.0,0.2994,1526.0,34.91,No giveaway,55-65F,1,Adjacent to a giveaway,1,3+ away
20240410,2024,342,5434,6031.0,1,night,Wednesday,2,April,4,2,0,0,,2024-342-2,2,6,1.0,0.182,0.636,Clear,Clear,68.0,10,0,0,0,,1,-3.0,1,4875.0,0.2128,1156.0,23.72,No giveaway,65-75F,2,Adjacent to a giveaway,1,3+ away
20240411,2024,342,5434,2971.0,1,night,Thursday,3,April,4,2,0,0,,2024-342-2,3,6,1.0,0.167,0.667,Clear,Clear,72.0,4,0,0,0,,1,-2.0,1,5242.0,-0.5679,-2271.0,-43.33,No giveaway,65-75F,2,Adjacent to a giveaway,1,-2 games
20240412,2024,342,5434,4019.0,1,night,Friday,4,April,4,3,1,0,,2024-342-2,4,6,1.0,0.154,0.692,Clear,Clear,79.0,18,0,0,0,,1,-1.0,1,7287.0,-0.5951,-3268.0,-44.85,No giveaway,75-85F,3,Adjacent to a giveaway,1,-1 games
20240413,2024,342,5434,8042.0,1,night,Saturday,5,April,4,3,1,0,,2024-342-2,5,6,1.0,0.143,0.714,Clear,Clear,77.0,9,0,1,1,Adult Mariachis Ponchos,1,0.0,1,7124.0,0.1213,918.0,12.89,Giveaway,75-85F,3,Giveaway,0,Giveaway
20240414,2024,342,5434,5339.0,1,day,Sunday,6,April,4,3,1,0,,2024-342-2,6,6,1.0,0.2,0.667,Clear,Clear,74.0,6,0,1,1,Commemorative Jackie Robinson Hats,1,0.0,1,6086.0,-0.1309,-747.0,-12.27,Giveaway,65-75F,2,Giveaway,0,Giveaway
20240423,2024,342,238,3708.0,1,night,Tuesday,1,April,4,4,0,0,,2024-342-3,1,12,9.0,0.273,0.591,Cloudy,Partly Cloudy,81.0,1,0,0,0,,1,-5.0,1,4966.0,-0.2922,-1258.0,-25.34,No giveaway,75-85F,3,Adjacent to a giveaway,1,3+ away
