date_key,date,team_id,home_team,league_name,venue_name,away_team,away_team_id,attendance,games_that_date,day_night,day_of_week,day_of_week_num,month_num,month_name,week_of_season,is_weekend,holiday,is_holiday,homestand_id,homestand_game_index,homestand_length,days_since_last_home_date,home_win_pct,away_win_pct,weather_condition,weather_group,temp_f,wind_mph,wind_direction,is_wet,has_giveaway,giveaway_count,giveaway_item,homestand_has_giveaway,games_from_giveaway,club_coverage,analysis_eligible,log_attendance,temp_f_sq,offset,predicted_log,residual,predicted_attendance
20260331,2026-03-31,342,Albuquerque Isotopes,Pacific Coast League,Isotopes Park,Reno Aces,2310,5735.0,1,night,Tuesday,1,3,March,1,0,,0,342-1,1,6,1.0,0.25,0.5,Overcast,Cloudy,73.0,11,Out To RF,0,1,1,"Isotopes Scarves, first 2000 fans",1,0.0,full_season_release,1,8.65434302956347,5329.0,0.0,8.886603955905956,-0.23226092634248552,7234.409046475896
20260401,2026-04-01,342,Albuquerque Isotopes,Pacific Coast League,Isotopes Park,Reno Aces,2310,6203.0,1,night,Wednesday,2,4,April,1,0,,0,342-1,2,6,1.0,0.2,0.6,Partly Cloudy,Cloudy,61.0,18,Out To RF,0,0,0,,1,1.0,full_season_release,1,8.732788324973118,3721.0,1.0,8.617058362543496,0.11572996242962219,5525.109595857398
20260402,2026-04-02,342,Albuquerque Isotopes,Pacific Coast League,Isotopes Park,Reno Aces,2310,3378.0,1,day,Thursday,3,4,April,1,0,,0,342-1,3,6,1.0,0.3333333333333333,0.5,Sunny,Clear,65.0,8,Out To CF,0,0,0,,1,-1.0,full_season_release,1,8.125039097367745,4225.0,-1.0,8.87318607423457,-0.7481469768668241,7137.98693878865
20260403,2026-04-03,342,Albuquerque Isotopes,Pacific Coast League,Isotopes Park,Reno Aces,2310,3653.0,1,night,Friday,4,4,April,2,1,,0,342-1,4,6,1.0,0.2857142857142857,0.5714285714285714,Clear,Clear,60.0,8,L To R,0,1,1,"Magnet Schedules, first 3000 fans",1,0.0,full_season_release,1,8.203304026795282,3600.0,0.0,9.02457434285341,-0.8212703160581292,8304.678775506352
20260404,2026-04-04,342,Albuquerque Isotopes,Pacific Coast League,Isotopes Park,Reno Aces,2310,6455.0,1,night,Saturday,5,4,April,2,1,,0,342-1,5,6,1.0,0.375,0.5,Clear,Clear,67.0,2,Out To RF,0,1,1,"Adult Mariachis Jersey Hoodie, first 3000 fans 16 and older",1,0.0,full_season_release,1,8.772610303280743,4489.0,0.0,9.036268780093625,-0.263658476812882,8402.367413749971
20260405,2026-04-05,342,Albuquerque Isotopes,Pacific Coast League,Isotopes Park,Reno Aces,2310,4058.0,1,day,Sunday,6,4,April,2,1,,0,342-1,6,6,1.0,0.3333333333333333,0.5555555555555556,Sunny,Clear,69.0,8,R To L,0,0,0,,1,1.0,full_season_release,1,8.30844552038576,4761.0,1.0,8.854369660145874,-0.545924139760114,7004.931360966526
20260414,2026-04-14,342,Albuquerque Isotopes,Pacific Coast League,Isotopes Park,Oklahoma City Comets,238,6224.0,1,night,Tuesday,1,4,April,3,0,,0,342-2,1,6,9.0,0.5,0.5625,Partly Cloudy,Cloudy,67.0,18,L To R,0,0,0,,1,-3.0,full_season_release,1,8.736168065858228,4489.0,-3.0,8.646692581470187,0.08947548438804098,5691.292085931738
20260415,2026-04-15,342,Albuquerque Isotopes,Pacific Coast League,Isotopes Park,Oklahoma City Comets,238,7663.0,1,night,Wednesday,2,4,April,3,0,,0,342-2,2,6,1.0,0.5294117647058824,0.5294117647058824,Clear,Clear,69.0,11,Out To RF,0,0,0,,1,-2.0,full_season_release,1,8.944158830970403,4761.0,-2.0,8.648148756270077,0.2960100747003267,5699.585639012078
20260416,2026-04-16,342,Albuquerque Isotopes,Pacific Coast League,Isotopes Park,Oklahoma City Comets,238,3343.0,1,day,Thursday,3,4,April,3,0,,0,342-2,3,6,1.0,0.5555555555555556,0.5,Sunny,Clear,69.0,11,Out To CF,0,0,0,,1,-1.0,full_season_release,1,8.114623886420098,4761.0,-1.0,8.862566895064479,-0.7479430086443806,7062.58842029758
20260417,2026-04-17,342,Albuquerque Isotopes,Pacific Coast League,Isotopes Park,Oklahoma City Comets,238,4850.0,1,night,Friday,4,4,April,4,1,,0,342-2,4,6,1.0,0.5263157894736842,0.5263157894736842,Clear,Clear,62.0,18,Out To RF,0,1,1,"Orbit Socks, first 2000 fans",1,0.0,full_season_release,1,8.48673398393153,3844.0,0.0,9.023250325900884,-0.5365163419693548,8293.69051594848
